"Enabled","Activado"
"Layout style","Estilo de dise침o"
"Show faces","Mostrar caras"
"Width","Ancho"
"Verb on the button","Verbo para mostrar"
"Color scheme","Combinaci칩n de colores"
"Light","Claro"
"Dark","Oscuro"
"Like","Me gusta"
"Recommend","Recomendado"
"Comments box enabled","Activar caja de comentarios"
"FaceBook Application Id and Key","ID de la aplicaci칩n"
"FaceBook Application Secret Key","Clave de la aplicaci칩n"
"Button Language","Button Language"
"Create application","Crear aplicaciones"
"Specifies whether to include a share button beside the Like button.", "Specifies whether to include a share button beside the Like button."
"See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details.", "See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Facebook Dev FAQ</a> for more details."
"Specifies whether to display profile photos below the button (standard layout only).", "Specifies whether to display profile photos below the button (standard layout only)."
"The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details.", "The width of the plugin (standard layout only), which is subject to the minimum and default width. See <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"">Layout Settings at Facebook Dev FAQ</a> for more details."
"The color scheme used by the plugin for any text outside of the button itself.", "The color scheme used by the plugin for any text outside of the button itself."
